# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001       0.0363974       0.0363974       0.0363974
     0.000106333       0.0386088       0.0386088       0.0386088
     0.000113066       0.0409545       0.0409545       0.0409545
     0.000120226       0.0434425       0.0434425       0.0434425
      0.00012784       0.0460814       0.0460814       0.0460814
     0.000135936       0.0488805       0.0488805       0.0488805
     0.000144544       0.0518493       0.0518493       0.0518493
     0.000153697       0.0549981       0.0549981       0.0549981
     0.000163431       0.0583377       0.0583377       0.0583377
      0.00017378       0.0618798       0.0618798       0.0618798
     0.000184785       0.0656363       0.0656363       0.0656363
     0.000196487       0.0696203       0.0696203       0.0696203
      0.00020893       0.0738453       0.0738453       0.0738453
      0.00022216       0.0783258       0.0783258       0.0783258
     0.000236229       0.0830771       0.0830771       0.0830771
     0.000251189       0.0881153       0.0881153       0.0881153
     0.000267096       0.0934575       0.0934575       0.0934575
      0.00028401       0.0991218       0.0991218       0.0991218
     0.000301995        0.105127        0.105127        0.105127
     0.000321119        0.111494        0.111494        0.111494
     0.000341455        0.118243        0.118243        0.118243
     0.000363078        0.125398        0.125398        0.125398
     0.000386071         0.13298         0.13298         0.13298
     0.000410519        0.141017        0.141017        0.141017
     0.000436516        0.149532        0.149532        0.149532
     0.000464159        0.158555        0.158555        0.158555
     0.000493552        0.168114        0.168114        0.168114
     0.000524807         0.17824         0.17824         0.17824
     0.000558042        0.188963        0.188963        0.188963
     0.000593381        0.200317        0.200317        0.200317
     0.000630957        0.212338        0.212338        0.212338
     0.000670914         0.22506         0.22506         0.22506
       0.0007134        0.238522        0.238522        0.238522
     0.000758578        0.252762        0.252762        0.252762
     0.000806616        0.267821        0.267821        0.267821
     0.000857696        0.283741        0.283741        0.283741
     0.000912011        0.300564        0.300564        0.300564
     0.000969765        0.318334        0.318334        0.318334
      0.00103118        0.337097        0.337097        0.337097
      0.00109648        0.356897        0.356897        0.356897
      0.00116591        0.377781        0.377781        0.377781
      0.00123975        0.399795        0.399795        0.399795
      0.00131826        0.422986        0.422986        0.422986
      0.00140174        0.447398        0.447398        0.447398
       0.0014905        0.473078        0.473078        0.473078
      0.00158489        0.500068        0.500068        0.500068
      0.00168526         0.52841         0.52841         0.52841
      0.00179198        0.558144        0.558144        0.558144
      0.00190546        0.589303        0.589303        0.589303
      0.00202613        0.621922        0.621922        0.621922
      0.00215443        0.656025        0.656025        0.656025
      0.00229087        0.691635        0.691635        0.691635
      0.00243594        0.728766        0.728766        0.728766
       0.0025902        0.767425        0.767425        0.767425
      0.00275423         0.80761         0.80761         0.80761
      0.00292864        0.849309        0.849309        0.849309
      0.00311411          0.8925          0.8925          0.8925
      0.00331131        0.937148        0.937148        0.937148
      0.00352101        0.983204        0.983204        0.983204
      0.00374398         1.03061         1.03061         1.03061
      0.00398107         1.07927         1.07927         1.07927
      0.00423318         1.12911         1.12911         1.12911
      0.00450125         1.18001         1.18001         1.18001
       0.0047863         1.23183         1.23183         1.23183
       0.0050894         1.28442         1.28442         1.28442
       0.0054117          1.3376          1.3376          1.3376
       0.0057544         1.39118         1.39118         1.39118
      0.00611881         1.44493         1.44493         1.44493
      0.00650629         1.49861         1.49861         1.49861
      0.00691831         1.55195         1.55195         1.55195
